dataset,sample_id,natoms,modal,loader,category,source_kind,local_path,num_edges,num_pairs,avg_neighbors_directed,pair_reuse_factor,reverse_pair_fraction,baseline_edge_embedding_evals,pair_edge_embedding_evals,baseline_weight_nn_rows_total,pair_weight_nn_rows_total,baseline_tp_rows_total,pair_tp_rows_total,baseline_scatter_rows_total,pair_scatter_rows_total,density_bucket
omat24_1m_official,train:106751,160,omat24,tar_aselmdb,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/omat24_1m/omat24_1M_251210.tar.gz,15224,7612,95.15,2.0,1.0,15224,7612,76120,38060,76120,76120,76120,76120,large_dense
omol25_train_4m,OMol25_train_4M_data0016_18415,350,omol25_low,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_train_4m,19152,9576,54.72,2.0,1.0,19152,9576,95760,47880,95760,95760,95760,95760,large_dense
omol25_train_neutral,OMol25_train_neutral_data0063_395425,181,omol25_low,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_train_neutral,9926,4963,54.83977900552486,2.0,1.0,9926,4963,49630,24815,49630,49630,49630,49630,large_dense
omol25_validation,OMol25_validation_data0012_18589,350,omol25_low,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/omol25_validation,17972,8986,51.348571428571425,2.0,1.0,17972,8986,89860,44930,89860,89860,89860,89860,large_dense
phonondb_pbe,phonondb_pbe.extxyz:0,8,matpes_r2scan,extxyz_file,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/phonondb_pbe.extxyz.zip,208,104,26.0,2.0,1.0,208,104,1040,520,1040,1040,1040,1040,small_sparse
qm9_hf,0_3057,29,qcml,qm9_like,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/qm9_hf,570,285,19.655172413793103,2.0,1.0,570,285,2850,1425,2850,2850,2850,2850,small_sparse
rmd17,rmd17_azobenzene,24,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/rmd17,366,183,15.25,2.0,1.0,366,183,1830,915,1830,1830,1830,1830,small_sparse
salex_train_official,alex_go_aao_005:4493,132,omat24,tar_aselmdb,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/train.tar.gz,9932,4966,75.24242424242425,2.0,1.0,9932,4966,49660,24830,49660,49660,49660,49660,large_dense
salex_val_official,alex_go_aao_006:1039,128,omat24,tar_aselmdb,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/fairchem/salex/val.tar.gz,13088,6544,102.25,2.0,1.0,13088,6544,65440,32720,65440,65440,65440,65440,large_dense
spice_2023,hie__SPICE_Solvated_Amino_Acids_Single_Points_Dataset_v1.1__index_49,89,spice,colabfit,molecular,hf,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/hf/spice_2023,728,364,8.179775280898877,2.0,1.0,728,364,3640,1820,3640,3640,3640,3640,small_sparse
wbm_initial,wbm_initial:23057,100,matpes_pbe,extxyz_file,materials,url,/home/wise/minchang/DenseMLIP/SevenNet/datasets/raw/figshare/wbm_initial.extxyz.zip,2260,1130,22.6,2.0,1.0,2260,1130,11300,5650,11300,11300,11300,11300,small_sparse
